status	tier	english_word	gothic_surface	gothic_surface_gothic	script_ok	dist_1	match_1	dist_2	match_2	dist_3	match_3	dist_4	match_4	dist_5	match_5	english_sentence	gothic_sentence_roman	gothic_sentence_gothic
delete	2	moored	duatsniwun	𐌳𐌿𐌰𐍄𐍃𐌽𐌹𐍅𐌿𐌽	yes	1	duatsniwan: arrive with haste, hasten thither, hurry to, reach with hast...	3	atsniwan: arrive with haste, hasten thither, reach with haste	4	gasniwan: arrive by hastening, attain, reach by hastening	5	disniman: have in acquisition, keep (V.), possess (V.)	5	faúrsniwan: do beforehand, go ahead, hasten in anticipation, hurry ahead...	When they had crossed over, they came to land at Gennesaret, and moored to the shore.	... jah duatsniwun.	... 𐌾𐌰𐌷 𐌳𐌿𐌰𐍄𐍃𐌽𐌹𐍅𐌿𐌽.
delete	2	agree	samaleika	𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐌰	yes	1	samaleiks: equal, identical, like (1), of the same form	1	samaleikō: in like manner, in the same way, in the selfsame manner, lik...	3	galeika: partner in the same body, „corpus-mate“	3	laþaleiks: charitable, hospitable	3	laþaleikō: charitably, gladly, hospitably, invitation-like	Even so, their testimony did not agree.	jah ni swa samaleika was weitwodiþa ize.	𐌾𐌰𐌷 𐌽𐌹 𐍃𐍅𐌰 𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐌰 𐍅𐌰𐍃 𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌹𐌸𐌰 𐌹𐌶𐌴.
delete	2	disciples	siponjans	𐍃𐌹𐍀𐍉𐌽𐌾𐌰𐌽𐍃	yes	1	sipōnjan: be a disciple, be a student	3	sipōneis: disciple, follower, student	4	sigljan: put a seal on, seal (V.)	4	bisunjanē: in the hear (N.) of, neighbouring (Adv.), round about	4	swiknjan: absolve, exculpate, make taintless	Now when Jesus saw great multitudes around him, he gave the order to depart to the other side.	gasaihvands þan Iesus managans hiuhmans bi sik, haihait galeiþan siponjans hindar marein.	𐌲𐌰𐍃𐌰𐌹𐍈𐌰𐌽𐌳𐍃 𐌸𐌰𐌽 𐌹𐌴𐍃𐌿𐍃 𐌼𐌰𐌽𐌰𐌲𐌰𐌽𐍃 𐌷𐌹𐌿𐌷𐌼𐌰𐌽𐍃 𐌱𐌹 𐍃𐌹𐌺, 𐌷𐌰𐌹𐌷𐌰𐌹𐍄 𐌲𐌰𐌻𐌴𐌹𐌸𐌰𐌽 𐍃𐌹𐍀𐍉𐌽𐌾𐌰𐌽𐍃 𐌷𐌹𐌽𐌳𐌰𐍂 𐌼𐌰𐍂𐌴𐌹𐌽.
delete	2	messenger (actually angel)	aggilu	𐌰𐌲𐌲𐌹𐌻𐌿	yes	1	aggilus: angel	1	Aggils: Angle	3	aggwiþa: affliction, anxiety, distress (N.), plight, trouble (N.)	3	aglō: affliction, painfulness, tribulation	3	filu: copious amount, copiously, much, very (Adv.)	For this is he, of whom it is written, 'Behold, I send my messenger before your face, who will prepare your way before you.'	sa ist auk bi þanei gameliþ ist: sai, ik insandja aggilu meinana faura þus, saei gamanweiþ wig þeinana faura þus.	𐍃𐌰 𐌹𐍃𐍄 𐌰𐌿𐌺 𐌱𐌹 𐌸𐌰𐌽𐌴𐌹 𐌲𐌰𐌼𐌴𐌻𐌹𐌸 𐌹𐍃𐍄: 𐍃𐌰𐌹, 𐌹𐌺 𐌹𐌽𐍃𐌰𐌽𐌳𐌾𐌰 𐌰𐌲𐌲𐌹𐌻𐌿 𐌼𐌴𐌹𐌽𐌰𐌽𐌰 𐍆𐌰𐌿𐍂𐌰 𐌸𐌿𐍃, 𐍃𐌰𐌴𐌹 𐌲𐌰𐌼𐌰𐌽𐍅𐌴𐌹𐌸 𐍅𐌹𐌲 𐌸𐌴𐌹𐌽𐌰𐌽𐌰 𐍆𐌰𐌿𐍂𐌰 𐌸𐌿𐍃.
delete	2	saying	qiþis	𐌵𐌹𐌸𐌹𐍃	yes	1	qiþus: belly, stomach, womb	2	qius: alive, having life, living (Adj.)	2	niþjis: kinsman, male blood-relative	2	liþus: limb (1) (N.), member, part of the body	2	rimis: calmness, peacefulness, rest (N.), tranquility	But he denied it before them all, saying, "I don't know what you are talking about."	... hva qiþis.	... 𐍈𐌰 𐌵𐌹𐌸𐌹𐍃.
delete	2	anointed	faursnau	𐍆𐌰𐌿𐍂𐍃𐌽𐌰𐌿	yes	2	þaursnan: become dry, dry up	3	maúrnan: be anxious, be troubled about, concern oneself, have anxiety...	3	faírina: basis for accusation, blamable, cause for complaint, complai...	3	faúra: ahead, before, beforehand, beside, formerly, heretofore, hit...	3	faúrsniwan: do beforehand, go ahead, hasten in anticipation, hurry ahead...	She has done what she could. She has anointed my body beforehand for the burying.	þatei habaida so gatawida; faursnau salbon mein leik du usfilha.	𐌸𐌰𐍄𐌴𐌹 𐌷𐌰𐌱𐌰𐌹𐌳𐌰 𐍃𐍉 𐌲𐌰𐍄𐌰𐍅𐌹𐌳𐌰; 𐍆𐌰𐌿𐍂𐍃𐌽𐌰𐌿 𐍃𐌰𐌻𐌱𐍉𐌽 𐌼𐌴𐌹𐌽 𐌻𐌴𐌹𐌺 𐌳𐌿 𐌿𐍃𐍆𐌹𐌻𐌷𐌰.
delete	2	spoke (actually swore)	swor	𐍃𐍅𐍉𐍂	yes	2	swau: is it in such a way that, is it thus that, so also	2	swē: about, approximately, as, as if, in like manner as, just as,...	2	swah: and so, even so, so also	2	ƕar: at which place, where, wherever	2	snōrs: cord (N.), string (N.)	the oath which he spoke to Abraham, our father,	aiþis þanei swor wiþra Abraham attan unsarana, ei gebi unsis	𐌰𐌹𐌸𐌹𐍃 𐌸𐌰𐌽𐌴𐌹 𐍃𐍅𐍉𐍂 𐍅𐌹𐌸𐍂𐌰 𐌰𐌱𐍂𐌰𐌷𐌰𐌼 𐌰𐍄𐍄𐌰𐌽 𐌿𐌽𐍃𐌰𐍂𐌰𐌽𐌰, 𐌴𐌹 𐌲𐌴𐌱𐌹 𐌿𐌽𐍃𐌹𐍃
delete	3	deliver (betray)	galewidedi	𐌲𐌰𐌻𐌴𐍅𐌹𐌳𐌴𐌳𐌹	yes	4	galeiki: like form, likeness, replica, resemblance, similar appearanc...	4	galēwjands: traitor	5	galēkinōn: cure (V.), heal (V.), work a cure on	5	gabeidan: abide, endure, hold out under	5	gatēwiþs: arranged, ordered	Judas Iscariot, who was one of the twelve, went away to the chief priests, that he might deliver him to them.	jah Iudas Iskarioteis, ains þize twalibe, galaiþ du þaim gudjam, ei galewidedi ina im.	𐌾𐌰𐌷 𐌹𐌿𐌳𐌰𐍃 𐌹𐍃𐌺𐌰𐍂𐌹𐍉𐍄𐌴𐌹𐍃, 𐌰𐌹𐌽𐍃 𐌸𐌹𐌶𐌴 𐍄𐍅𐌰𐌻𐌹𐌱𐌴, 𐌲𐌰𐌻𐌰𐌹𐌸 𐌳𐌿 𐌸𐌰𐌹𐌼 𐌲𐌿𐌳𐌾𐌰𐌼, 𐌴𐌹 𐌲𐌰𐌻𐌴𐍅𐌹𐌳𐌴𐌳𐌹 𐌹𐌽𐌰 𐌹𐌼.
delete	3	men	(su)niwe	(𐍃𐌿)𐌽𐌹𐍅𐌴	yes	4	swē: about, approximately, as, as if, in like manner as, just as,...	4	swaswē: according as, approximately, as just as, as like, like (Adj....	4	untē: as long as, by reason of the fact that, for, on account of t...	4	suns: all at once, all together at the same time, at once, at one ...	4	sundrō: alone, apart, asunder (Adv.), individually, privately, separ...	The men of Beth Azmaveth, forty-two.	(su)niwe Asm(o)þis ·r· ·k· (·h·) (128). -	(𐍃𐌿)𐌽𐌹𐍅𐌴 𐌰𐍃𐌼(𐍉)𐌸𐌹𐍃 ·𐍂· ·𐌺· (·𐌷·) (128). -
delete	3	disbelieved	galaubidedun	𐌲𐌰𐌻𐌰𐌿𐌱𐌹𐌳𐌴𐌳𐌿𐌽	yes	5	galaubjan: be confident of, believe, have confidence in, have faith in,...	5	galaubeins: belief, believing, faith, faithful	5	galaubei: magnificence, splendour	6	garaidjan: arrange, decree (V.), enjoin, issue a directive, mandate (V....	6	gapaidōn: clothe, dress (V.), jacket (V.), put on as a tunic	When they heard that he was alive, and had been seen by her, they disbelieved.	jah eis hausjandans þatei libaiþ jah gasaihvans warþ fram izai, ni galaubidedun.	𐌾𐌰𐌷 𐌴𐌹𐍃 𐌷𐌰𐌿𐍃𐌾𐌰𐌽𐌳𐌰𐌽𐍃 𐌸𐌰𐍄𐌴𐌹 𐌻𐌹𐌱𐌰𐌹𐌸 𐌾𐌰𐌷 𐌲𐌰𐍃𐌰𐌹𐍈𐌰𐌽𐍃 𐍅𐌰𐍂𐌸 𐍆𐍂𐌰𐌼 𐌹𐌶𐌰𐌹, 𐌽𐌹 𐌲𐌰𐌻𐌰𐌿𐌱𐌹𐌳𐌴𐌳𐌿𐌽.
delete	3	believe	ga~u~laubjats	𐌲𐌰~𐌿~𐌻𐌰𐌿𐌱𐌾𐌰𐍄𐍃	yes	5	galaubjan: be confident of, believe, have confidence in, have faith in,...	6	uslaubjan: allow, give consent, let (V.), permit (V.)	6	gadaubjan: be numb, deaden, harden (V.), make insensitive	6	galaubeins: belief, believing, faith, faithful	6	gablauþjan: bring to naught, defeat (V.), make powerless, triumph (V.)	When he had come into the house, the blind men came to him. Jesus said to them, "Do you believe that I am able to do this?" They told him, "Yes, Lord."	Qimandin þan in garda duatiddjedun imma þai blindans jah qaþ im Iesus: ga~u~laubjats þatei magjau þata taujan? Qeþun du imma: jai, frauja!	𐌵𐌹𐌼𐌰𐌽𐌳𐌹𐌽 𐌸𐌰𐌽 𐌹𐌽 𐌲𐌰𐍂𐌳𐌰 𐌳𐌿𐌰𐍄𐌹𐌳𐌳𐌾𐌴𐌳𐌿𐌽 𐌹𐌼𐌼𐌰 𐌸𐌰𐌹 𐌱𐌻𐌹𐌽𐌳𐌰𐌽𐍃 𐌾𐌰𐌷 𐌵𐌰𐌸 𐌹𐌼 𐌹𐌴𐍃𐌿𐍃: 𐌲𐌰~𐌿~𐌻𐌰𐌿𐌱𐌾𐌰𐍄𐍃 𐌸𐌰𐍄𐌴𐌹 𐌼𐌰𐌲𐌾𐌰𐌿 𐌸𐌰𐍄𐌰 𐍄𐌰𐌿𐌾𐌰𐌽? 𐌵𐌴𐌸𐌿𐌽 𐌳𐌿 𐌹𐌼𐌼𐌰: 𐌾𐌰𐌹, 𐍆𐍂𐌰𐌿𐌾𐌰!
delete	3	give	us~nu~gibiþ	𐌿𐍃~𐌽𐌿~𐌲𐌹𐌱𐌹𐌸	yes	6	usgiban: give back, give out, offer (V.), pay out, present (V.), reco...	7	usbugjan: acquire through purchase (V.), buy (V.), buy up, redeem	7	andaugiba: for all to see, in plain sight, obviously, openly	7	usniman: extract (V.), remove (V.), take along, take away, take from,...	7	unþiuþ: badness, evil (N.), non-good	He said to them, "Then give to Caesar the things that are Caesar's, and to God the things that are God's."	iþ is qaþuh du im: us~nu~gibiþ þo kaisaris kaisara jah þo gudis guda.	𐌹𐌸 𐌹𐍃 𐌵𐌰𐌸𐌿𐌷 𐌳𐌿 𐌹𐌼: 𐌿𐍃~𐌽𐌿~𐌲𐌹𐌱𐌹𐌸 𐌸𐍉 𐌺𐌰𐌹𐍃𐌰𐍂𐌹𐍃 𐌺𐌰𐌹𐍃𐌰𐍂𐌰 𐌾𐌰𐌷 𐌸𐍉 𐌲𐌿𐌳𐌹𐍃 𐌲𐌿𐌳𐌰.
okay	1	accurately	glaggwuba	𐌲𐌻𐌰𐌲𐌲𐍅𐌿𐌱𐌰	yes	0	glaggwuba: meticulously, precisely, with attention to detail	1	glaggwaba: diligently, meticulously, with attention to detail	3	glaggwō: accurately, meticulously, with attention to detail	3	glaggws: meticulous, with attention to detail	4	gagudaba: godly, in a godly manner, in a saintly manner	it seemed good to me also, having traced the course of all things accurately from the first, to write to you in order, most excellent Theophilus;	galeikaida jah mis jah ahmin weihamma fram anastodeinai allaim glaggwuba afarlaistjandin gahahjo þus meljan, batista Þaiaufeilu,	𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌹𐌳𐌰 𐌾𐌰𐌷 𐌼𐌹𐍃 𐌾𐌰𐌷 𐌰𐌷𐌼𐌹𐌽 𐍅𐌴𐌹𐌷𐌰𐌼𐌼𐌰 𐍆𐍂𐌰𐌼 𐌰𐌽𐌰𐍃𐍄𐍉𐌳𐌴𐌹𐌽𐌰𐌹 𐌰𐌻𐌻𐌰𐌹𐌼 𐌲𐌻𐌰𐌲𐌲𐍅𐌿𐌱𐌰 𐌰𐍆𐌰𐍂𐌻𐌰𐌹𐍃𐍄𐌾𐌰𐌽𐌳𐌹𐌽 𐌲𐌰𐌷𐌰𐌷𐌾𐍉 𐌸𐌿𐍃 𐌼𐌴𐌻𐌾𐌰𐌽, 𐌱𐌰𐍄𐌹𐍃𐍄𐌰 𐌸𐌰𐌹𐌰𐌿𐍆𐌴𐌹𐌻𐌿,
