status	alignment_id	source	reason	english_word	gothic_surface	gothic_surface_gothic	english_sentence	gothic_sentence_roman
delete	train_0347_d0	llm_diversify	single_word	met	gamotidedun	𐌲𐌰𐌼𐍉𐍄𐌹𐌳𐌴𐌳𐌿𐌽	It happened, as he was praying alone, that the disciples were with him, and he asked them, "Who do the multitudes say that I am?"	jah warþ, miþþanei was is bidjands sundro, gamotidedun imma siponjos is, jah frah ins qiþands: hvana mik qiþand wisan þos manageins?
delete	train_0365_d0	llm_diversify	single_word	fasting	fastubnja	𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌾𐌰	They were all astonished at the majesty of God. But while all were marveling at all the things which Jesus did, he said to his disciples,	usfilmans þan waurþun allai ana þizai mikilein gudis. at allaim þan sildaleikjandam bi alla þoei gatawida Iesus qaþ Paitrus: frauja, duhve weis ni mahtedum usdreiban þamma? iþ Iesus qaþ: þata kuni ni usgaggiþ, nibai in bidom jah in fastubnja. qaþ þan du siponjam seinaim:
delete	train_0392_o1	llm_original	single_word	feet	fotuns	𐍆𐍉𐍄𐌿𐌽𐍃	'Even the dust from your city that clings to us, we wipe off against you. Nevertheless know this, that the Kingdom of God has come near to you.'	jah stubju þana gahaftnandan unsis us þizai baurg izwarai ana fotuns unsarans afhrisjam izwis; sweþauh þata witeiþ þatei atnehvida sik ana izwis þiudangardi gudis.
delete	train_0407_o2	llm_original	single_word	wounds	banjos	𐌱𐌰𐌽𐌾𐍉𐍃	Jesus answered, "A certain man was going down from Jerusalem to Jericho, and he fell among robbers, who both stripped him and beat him, and departed, leaving him half dead.	andhafjands þan Iesus qaþ: manna sums galaiþ af Iairusalem in Iaireikon jah in waidedjans frarann, þaiei jah biraubodedun ina jah banjos analagjandans ...
delete	train_0413_o2	llm_original	single_word	bread	hlaif	𐌷𐌻𐌰𐌹𐍆	When one of those who sat at the table with him heard these things, he said to him, "Blessed is he who will feast in the Kingdom of God!"	gahausjands þan sums þizei anakumbjandane þata qaþ du imma: audags saei matjiþ hlaif in þiudangardjai gudis.
okay	train_0509_o2	llm_original	single_word	God	guþ	𐌲𐌿𐌸	Jesus asked him, "Why do you call me good? No one is good, except one--God.	qaþ þan du imma Iesus: hva mik qiþis þiuþeigana? ni ainshun þiuþeigs niba ains guþ.
delete	train_0566_o2	llm_original	single_word	hear	hausjan	𐌷𐌰𐌿𐍃𐌾𐌰𐌽	They couldn't find what they might do, for all the people hung on to every word that he said.	jah ni bigetun hva gatawidedeina; managei auk alakjo hahaida du hausjan imma.
delete	train_0626_o1	llm_original	single_word	unclean	unhrainja	𐌿𐌽𐌷𐍂𐌰𐌹𐌽𐌾𐌰	Jesus rebuked him, saying, "Be quiet, and come out of him!"	jah andbait ina Iesus qiþands: þahai jah usgagg ut us þamma, ahma unhrainja.
delete	train_0626_o2	llm_original	single_word	spirit	ahma	𐌰𐌷𐌼𐌰	Jesus rebuked him, saying, "Be quiet, and come out of him!"	jah andbait ina Iesus qiþands: þahai jah usgagg ut us þamma, ahma unhrainja.
okay	train_0634_d1	llm_diversify	single_word	next	bisunjane	𐌱𐌹𐍃𐌿𐌽𐌾𐌰𐌽𐌴	He said to them, "Let's go elsewhere into the next towns, that I may preach there also, because I came out for this reason."	jah qaþ du im: gaggam du þaim bisunjane haimom jah baurgim, ei jah jainar merjau, unte duþe qam.
okay	train_0648_d3	llm_diversify	single_word	sins	frawaurhtins	𐍆𐍂𐌰𐍅𐌰𐌿𐍂𐌷𐍄𐌹𐌽𐍃	But that you may know that the Son of Man has authority on earth to forgive sins"--he said to the paralytic--	aþþan ei witeiþ þatei waldufni habaiþ sunus mans ana airþai afletan frawaurhtins, qaþ du þamma usliþin:
okay	train_0661_o1	llm_original	single_word	hungry	gredags	𐌲𐍂𐌴𐌳𐌰𐌲𐍃	He said to them, "Did you never read what David did, when he had need, and was hungry--he, and those who were with him?	jah is qaþ du im: niu ussuggwuþ aiw hva gatawida Daweid, þan þaurfta jah gredags was, is jah þai miþ imma?
delete	train_0688_d0	llm_diversify	single_word	or	aiþþau	𐌰𐌹𐌸𐌸𐌰𐌿	He answered them, "Who are my mother and my brothers?"	jah andhof im qiþands: hvo ist so aiþei meina aiþþau þai broþrjus meinai?
okay	train_0701_d0	llm_diversify	single_word	understand	wituþ	𐍅𐌹𐍄𐌿𐌸	He said to them, "Don't you understand this parable? How will you understand all of the parables?	jah qaþ du im: ni wituþ þo gajukon, jah hvaiwa allos þos gajukons kunneiþ?
delete	train_0702_o2	llm_original	single_word	hearts	hairtam	𐌷𐌰𐌹𐍂𐍄𐌰𐌼	The ones by the road are the ones where the word is sown; and when they have heard, immediately Satan comes, and takes away the word which has been sown in them.	aþþan þai wiþra wig sind, þarei saiada þata waurd, jah þan gahausjand unkarjans, suns qimiþ Satanas jah usnimiþ waurd þata insaiano in hairtam ize.
delete	train_0725_o0	llm_original	single_word	fear	agis	𐌰𐌲𐌹𐍃	They were greatly afraid, and said to one another, "Who then is this, that even the wind and the sea obey him?"	jah ohtedun sis agis mikil jah qeþun du sis misso: hvas þannu sa sijai, unte jah winds jah marei ufhausjand imma?
delete	train_0737_d0	llm_diversify	single_word	pigs	sweina	𐍃𐍅𐌴𐌹𐌽𐌰	Those who fed them fled, and told it in the city and in the country. The people came to see what it was that had happened.	jah þai haldandans þo sweina gaþlauhun jah gataihun in baurg jah in haimom, jah qemun saihvan hva wesi þata waurþano.
delete	train_0815_o2	llm_original	single_word	daughter	dauhtar	𐌳𐌰𐌿𐌷𐍄𐌰𐍂	She went away to her house, and found the child having been laid on the bed, with the demon gone out.	jah galeiþandei du garda seinamma bigat unhulþon usgaggana jah þo dauhtar ligandein ana ligra.
okay	train_0848_o2	llm_original	single_word	Good News	aiwaggeljons	𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌾𐍉𐌽𐍃	For whoever wants to save his life will lose it; and whoever will lose his life for my sake and the sake of the Good News will save it.	saei allis wili saiwala seina ganasjan, fraqisteiþ izai: iþ saei fraqisteiþ saiwalai seinai in meina jah in þizos aiwaggeljons, ganasjiþ þo.
okay	train_0872_o1	llm_original	single_word	most of them	managai	𐌼𐌰𐌽𐌰𐌲𐌰𐌹	Having cried out, and convulsed greatly, it came out of him. The boy became like one dead; so much that most of them said, "He is dead."	jah hropjands jah filu tahjands ina usiddja; jah warþ swe dauþs, swaswe managai qeþun þatei gaswalt.
delete	train_0937_o1	llm_original	single_word	commanded	anabauþ	𐌰𐌽𐌰𐌱𐌰𐌿𐌸	They said to them just as Jesus had said, and they let them go.	iþ eis qeþun du im swaswe anabauþ im Iesus, jah lailotun ins.
okay	train_1036_o2	llm_original	single_word	maid	þiujo	𐌸𐌹𐌿𐌾𐍉	As Peter was in the courtyard below, one of the maids of the high priest came,	jah wisandin Paitrau in rohsnai dalaþa jah atiddja aina þiujo þis auhumistins gudjins,
okay	train_1146_o1	llm_original	single_word	sheep's	lambe	𐌻𐌰𐌼𐌱𐌴	"Beware of false prophets, who come to you in sheep's clothing, but inwardly are ravening wolves.	atsaihviþ sweþauh faura liugnapraufetum þaim izei qimand at izwis in wastjom lambe, iþ innaþro sind wulfos wilwandans.
okay	train_1157_o1	llm_original	single_word	fell	gadraus	𐌲𐌰𐌳𐍂𐌰𐌿𐍃	The rain came down, the floods came, and the winds blew, and beat on that house; and it fell--and great was its fall."	jah atiddja dalaþ rign jah qemun ahvos jah waiwoun windos jah bistugqun bi jainamma razna, jah gadraus, jah was drus is mikils.
delete	train_1173_o2	llm_original	single_word	sea	marein	𐌼𐌰𐍂𐌴𐌹𐌽	Now when Jesus saw great multitudes around him, he gave the order to depart to the other side.	gasaihvands þan Iesus managans hiuhmans bi sik, haihait galeiþan siponjans hindar marein.
delete	train_1190_d1	llm_diversify	single_word	feared	ohtedun	𐍉𐌷𐍄𐌴𐌳𐌿𐌽	But when the multitudes saw it, they marveled and glorified God, who had given such authority to men.	gasaihvandeins þan manageins ohtedun sildaleikjandans jah mikilidedun guþ þana gibandan waldufni swaleikata mannam.
okay	train_1261_d0	llm_diversify	single_word	someone else	anþara	𐌰𐌽𐌸𐌰𐍂𐌰	When he had gone out onto the porch, someone else saw him, and said to those who were there, "This man also was with Jesus of Nazareth."	usgaggandan þan ina in daur, gasahv ina anþara jah qaþ du þaim jainar: jah sa was miþ Iesua þamma Nazoraiau.
okay	train_1262_d0	llm_diversify	single_word	someone else	anþara	𐌰𐌽𐌸𐌰𐍂𐌰	When he had gone out onto the porch, someone else saw him, and said to those who were there, "This man also was with Jesus of Nazareth."	usgaggandan þan ina in daur, gasahv ina anþara jah qaþ du þaim jainar: jassa was miþ Iesua þamma Nazoraiau.
delete	train_1263_o2	llm_original	single_word	swearing	swarands	𐍃𐍅𐌰𐍂𐌰𐌽𐌳𐍃	Again he denied it with an oath, "I don't know the man."	jah aftra afaiaik miþ aiþa swarands þatei ni kann þana mannan.
