status	alignment_id	source	tier	english_word	gothic_surface	gothic_surface_gothic	script_ok	dist_1	match_1	dist_2	match_2	dist_3	match_3	english_sentence	gothic_sentence_roman	gothic_sentence_gothic
okay	train_0051_d0	llm_diversify	1	circumcise	bimaitan	𐌱𐌹𐌼𐌰𐌹𐍄𐌰𐌽	yes	0	bimaitan: circumcise	1	bihaitan: call out about, proclaim about, speak vociferously	1	bimaitans: circumcised	It happened on the eighth day, that they came to circumcise the child; and they would have called him Zacharias, after the name of the father.	jah warþ in daga ahtudin, qemun bimaitan þata barn jah haihaitun ina afar namin attins is Zakarian.	𐌾𐌰𐌷 𐍅𐌰𐍂𐌸 𐌹𐌽 𐌳𐌰𐌲𐌰 𐌰𐌷𐍄𐌿𐌳𐌹𐌽, 𐌵𐌴𐌼𐌿𐌽 𐌱𐌹𐌼𐌰𐌹𐍄𐌰𐌽 𐌸𐌰𐍄𐌰 𐌱𐌰𐍂𐌽 𐌾𐌰𐌷 𐌷𐌰𐌹𐌷𐌰𐌹𐍄𐌿𐌽 𐌹𐌽𐌰 𐌰𐍆𐌰𐍂 𐌽𐌰𐌼𐌹𐌽 𐌰𐍄𐍄𐌹𐌽𐍃 𐌹𐍃 𐌶𐌰𐌺𐌰𐍂𐌹𐌰𐌽.
okay	train_0052_d0	llm_diversify	1	not	ne	𐌽𐌴	yes	0	ne: nay (Adv.), no	1	e: abbreviation for 5, e	1	n: abbreviation for 50, n	His mother answered, "Not so; but he will be called John."	jah andhafjandei so aiþei is qaþ: ne, ak haitaidau Iohannes.	𐌾𐌰𐌷 𐌰𐌽𐌳𐌷𐌰𐍆𐌾𐌰𐌽𐌳𐌴𐌹 𐍃𐍉 𐌰𐌹𐌸𐌴𐌹 𐌹𐍃 𐌵𐌰𐌸: 𐌽𐌴, 𐌰𐌺 𐌷𐌰𐌹𐍄𐌰𐌹𐌳𐌰𐌿 𐌹𐍉𐌷𐌰𐌽𐌽𐌴𐍃.
okay	train_0095_d0	llm_diversify	1	concerning	bi	𐌱𐌹	yes	0	bi: about, against, approximately, around, at, because of, befor...	1	ei: a time wherein, in a way that, in such a manner, in that cas...	1	b: abbreviation for 2, b	Joseph and his mother were marveling at the things which were spoken concerning him,	jah was Iosef jah aiþei is sildaleikjandona ana þaim þoei rodida wesun bi ina.	𐌾𐌰𐌷 𐍅𐌰𐍃 𐌹𐍉𐍃𐌴𐍆 𐌾𐌰𐌷 𐌰𐌹𐌸𐌴𐌹 𐌹𐍃 𐍃𐌹𐌻𐌳𐌰𐌻𐌴𐌹𐌺𐌾𐌰𐌽𐌳𐍉𐌽𐌰 𐌰𐌽𐌰 𐌸𐌰𐌹𐌼 𐌸𐍉𐌴𐌹 𐍂𐍉𐌳𐌹𐌳𐌰 𐍅𐌴𐍃𐌿𐌽 𐌱𐌹 𐌹𐌽𐌰.
okay	train_0194_d1	llm_diversify	1	alone	ains	𐌰𐌹𐌽𐍃	yes	0	ains: a, alone, an, anyone, once (= ainamma sinþa), one, only, sin...	1	aiws: age (N.), all time, eternity	1	ans: wooden beam	The scribes and the Pharisees began to reason, saying, "Who is this that speaks blasphemies? Who can forgive sins, but God alone?"	jah dugunnun þagkjan þai bokarjos jah Fareisaieis qiþandans: hvas ist sa, saei rodeiþ naiteinins? hvas mag afletan frawaurhtins, alja ains guþ?	𐌾𐌰𐌷 𐌳𐌿𐌲𐌿𐌽𐌽𐌿𐌽 𐌸𐌰𐌲𐌺𐌾𐌰𐌽 𐌸𐌰𐌹 𐌱𐍉𐌺𐌰𐍂𐌾𐍉𐍃 𐌾𐌰𐌷 𐍆𐌰𐍂𐌴𐌹𐍃𐌰𐌹𐌴𐌹𐍃 𐌵𐌹𐌸𐌰𐌽𐌳𐌰𐌽𐍃: 𐍈𐌰𐍃 𐌹𐍃𐍄 𐍃𐌰, 𐍃𐌰𐌴𐌹 𐍂𐍉𐌳𐌴𐌹𐌸 𐌽𐌰𐌹𐍄𐌴𐌹𐌽𐌹𐌽𐍃? 𐍈𐌰𐍃 𐌼𐌰𐌲 𐌰𐍆𐌻𐌴𐍄𐌰𐌽 𐍆𐍂𐌰𐍅𐌰𐌿𐍂𐌷𐍄𐌹𐌽𐍃, 𐌰𐌻𐌾𐌰 𐌰𐌹𐌽𐍃 𐌲𐌿𐌸?
okay	train_0204_d0	llm_diversify	1	often	ufta	𐌿𐍆𐍄𐌰	yes	0	ufta: frequently, often	1	afta: behind	1	uftō: indeed, quite likely, very possibly	They said to him, "Why do John's disciples often fast and pray, likewise also the disciples of the Pharisees, but yours eat and drink?"	iþ eis qeþun du imma: duhve siponjos Iohannes fastand ufta jah bidos taujand, samaleiko jah Fareisaiei, iþ þai þeinai siponjos matjand jah drigkand?	𐌹𐌸 𐌴𐌹𐍃 𐌵𐌴𐌸𐌿𐌽 𐌳𐌿 𐌹𐌼𐌼𐌰: 𐌳𐌿𐍈𐌴 𐍃𐌹𐍀𐍉𐌽𐌾𐍉𐍃 𐌹𐍉𐌷𐌰𐌽𐌽𐌴𐍃 𐍆𐌰𐍃𐍄𐌰𐌽𐌳 𐌿𐍆𐍄𐌰 𐌾𐌰𐌷 𐌱𐌹𐌳𐍉𐍃 𐍄𐌰𐌿𐌾𐌰𐌽𐌳, 𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐍉 𐌾𐌰𐌷 𐍆𐌰𐍂𐌴𐌹𐍃𐌰𐌹𐌴𐌹, 𐌹𐌸 𐌸𐌰𐌹 𐌸𐌴𐌹𐌽𐌰𐌹 𐍃𐌹𐍀𐍉𐌽𐌾𐍉𐍃 𐌼𐌰𐍄𐌾𐌰𐌽𐌳 𐌾𐌰𐌷 𐌳𐍂𐌹𐌲𐌺𐌰𐌽𐌳?
okay	train_0204_d1	llm_diversify	1	likewise	samaleiko	𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐍉	yes	0	samaleikō: in like manner, in the same way, in the selfsame manner, lik...	1	samaleiks: equal, identical, like (1), of the same form	2	laþaleikō: charitably, gladly, hospitably, invitation-like	They said to him, "Why do John's disciples often fast and pray, likewise also the disciples of the Pharisees, but yours eat and drink?"	iþ eis qeþun du imma: duhve siponjos Iohannes fastand ufta jah bidos taujand, samaleiko jah Fareisaiei, iþ þai þeinai siponjos matjand jah drigkand?	𐌹𐌸 𐌴𐌹𐍃 𐌵𐌴𐌸𐌿𐌽 𐌳𐌿 𐌹𐌼𐌼𐌰: 𐌳𐌿𐍈𐌴 𐍃𐌹𐍀𐍉𐌽𐌾𐍉𐍃 𐌹𐍉𐌷𐌰𐌽𐌽𐌴𐍃 𐍆𐌰𐍃𐍄𐌰𐌽𐌳 𐌿𐍆𐍄𐌰 𐌾𐌰𐌷 𐌱𐌹𐌳𐍉𐍃 𐍄𐌰𐌿𐌾𐌰𐌽𐌳, 𐍃𐌰𐌼𐌰𐌻𐌴𐌹𐌺𐍉 𐌾𐌰𐌷 𐍆𐌰𐍂𐌴𐌹𐍃𐌰𐌹𐌴𐌹, 𐌹𐌸 𐌸𐌰𐌹 𐌸𐌴𐌹𐌽𐌰𐌹 𐍃𐌹𐍀𐍉𐌽𐌾𐍉𐍃 𐌼𐌰𐍄𐌾𐌰𐌽𐌳 𐌾𐌰𐌷 𐌳𐍂𐌹𐌲𐌺𐌰𐌽𐌳?
okay	train_0207_d0	llm_diversify	1	new	niujis	𐌽𐌹𐌿𐌾𐌹𐍃	yes	0	niujis: fresh (Adj.), new, unused, young	1	niþjis: kinsman, male blood-relative	2	þiubjis: clandestine, secret	He also told a parable to them. "No one puts a piece from a new garment on an old garment, or else he will tear the new, and also the piece from the new will not match the old.	qaþuh þan jah gajukon du im, þatei ainshun plat snagins niujis ni lagjid ana snagan fairnjana, aiþþau jah sa niuja aftaurnid, jah þamma fairnjin ni gatimid þata af þamma niujin.	𐌵𐌰𐌸𐌿𐌷 𐌸𐌰𐌽 𐌾𐌰𐌷 𐌲𐌰𐌾𐌿𐌺𐍉𐌽 𐌳𐌿 𐌹𐌼, 𐌸𐌰𐍄𐌴𐌹 𐌰𐌹𐌽𐍃𐌷𐌿𐌽 𐍀𐌻𐌰𐍄 𐍃𐌽𐌰𐌲𐌹𐌽𐍃 𐌽𐌹𐌿𐌾𐌹𐍃 𐌽𐌹 𐌻𐌰𐌲𐌾𐌹𐌳 𐌰𐌽𐌰 𐍃𐌽𐌰𐌲𐌰𐌽 𐍆𐌰𐌹𐍂𐌽𐌾𐌰𐌽𐌰, 𐌰𐌹𐌸𐌸𐌰𐌿 𐌾𐌰𐌷 𐍃𐌰 𐌽𐌹𐌿𐌾𐌰 𐌰𐍆𐍄𐌰𐌿𐍂𐌽𐌹𐌳, 𐌾𐌰𐌷 𐌸𐌰𐌼𐌼𐌰 𐍆𐌰𐌹𐍂𐌽𐌾𐌹𐌽 𐌽𐌹 𐌲𐌰𐍄𐌹𐌼𐌹𐌳 𐌸𐌰𐍄𐌰 𐌰𐍆 𐌸𐌰𐌼𐌼𐌰 𐌽𐌹𐌿𐌾𐌹𐌽.
okay	train_0220_d0	llm_diversify	1	pray	bidjan	𐌱𐌹𐌳𐌾𐌰𐌽	yes	0	bidjan: ask, ask a favour, ask for, beg, beseech, entreat, petition ...	1	bidan: ask for, beseech	1	baidjan: compel, force (V.)	It happened in these days, that he went out to the mountain to pray, and he continued all night in prayer to God.	jah warþ in dagam þaim, ei usiddja Iesus in fairguni bidjan; jah was naht þairwakands in bidai gudis.	𐌾𐌰𐌷 𐍅𐌰𐍂𐌸 𐌹𐌽 𐌳𐌰𐌲𐌰𐌼 𐌸𐌰𐌹𐌼, 𐌴𐌹 𐌿𐍃𐌹𐌳𐌳𐌾𐌰 𐌹𐌴𐍃𐌿𐍃 𐌹𐌽 𐍆𐌰𐌹𐍂𐌲𐌿𐌽𐌹 𐌱𐌹𐌳𐌾𐌰𐌽; 𐌾𐌰𐌷 𐍅𐌰𐍃 𐌽𐌰𐌷𐍄 𐌸𐌰𐌹𐍂𐍅𐌰𐌺𐌰𐌽𐌳𐍃 𐌹𐌽 𐌱𐌹𐌳𐌰𐌹 𐌲𐌿𐌳𐌹𐍃.
okay	train_0242_d0	llm_diversify	1	merciful	bleiþs	𐌱𐌻𐌴𐌹𐌸𐍃	yes	0	bleiþs: kind-hearted, merciful	1	sleiþs: baleful, baneful, dangerous, dire, fierce, pernicious	1	bleis: coloured	Therefore be merciful, even as your Father is also merciful.	wairþaid bleiþjandans, swaswe jah atta izwar bleiþs ist.	𐍅𐌰𐌹𐍂𐌸𐌰𐌹𐌳 𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐌰𐌽𐍃, 𐍃𐍅𐌰𐍃𐍅𐌴 𐌾𐌰𐌷 𐌰𐍄𐍄𐌰 𐌹𐌶𐍅𐌰𐍂 𐌱𐌻𐌴𐌹𐌸𐍃 𐌹𐍃𐍄.
okay	train_0245_d0	llm_diversify	1	above	ufar	𐌿𐍆𐌰𐍂	yes	0	ufar: above, over	1	ufarō: above, atop, in supervision of, on top, on top of, over, ove...	1	ufara: superior, the one above	A disciple is not above his teacher, but everyone when he is fully trained will be like his teacher.	nist siponeis ufar laisari seinana; iþ gamanwids hvarjizuh wairþai swe laisaris is.	𐌽𐌹𐍃𐍄 𐍃𐌹𐍀𐍉𐌽𐌴𐌹𐍃 𐌿𐍆𐌰𐍂 𐌻𐌰𐌹𐍃𐌰𐍂𐌹 𐍃𐌴𐌹𐌽𐌰𐌽𐌰; 𐌹𐌸 𐌲𐌰𐌼𐌰𐌽𐍅𐌹𐌳𐍃 𐍈𐌰𐍂𐌾𐌹𐌶𐌿𐌷 𐍅𐌰𐌹𐍂𐌸𐌰𐌹 𐍃𐍅𐌴 𐌻𐌰𐌹𐍃𐌰𐍂𐌹𐍃 𐌹𐍃.
okay	train_0267_d1	llm_diversify	1	about	bi	𐌱𐌹	yes	0	bi: about, against, approximately, around, at, because of, befor...	1	ei: a time wherein, in a way that, in such a manner, in that cas...	1	b: abbreviation for 2, b	The disciples of John told him about all these things.	jah gataihun Iohannen siponjos is bi alla þo.	𐌾𐌰𐌷 𐌲𐌰𐍄𐌰𐌹𐌷𐌿𐌽 𐌹𐍉𐌷𐌰𐌽𐌽𐌴𐌽 𐍃𐌹𐍀𐍉𐌽𐌾𐍉𐍃 𐌹𐍃 𐌱𐌹 𐌰𐌻𐌻𐌰 𐌸𐍉.
okay	train_0285_d0	llm_diversify	1	tell	qiþan	𐌵𐌹𐌸𐌰𐌽	yes	0	qiþan: express (V.), give an opinion, say, speak, tell	1	niþan: bring into affinity, bring into kinship, help (V.), make kin...	1	qiman: arrive, come, get to; lat. venire	Jesus answered him, "Simon, I have something to tell you." He said, "Teacher, say on."	jah andhafjands Iesus qaþ du Paitrau: Seimon, skal þus hva qiþan. iþ is qaþ: laisari, qiþ!	𐌾𐌰𐌷 𐌰𐌽𐌳𐌷𐌰𐍆𐌾𐌰𐌽𐌳𐍃 𐌹𐌴𐍃𐌿𐍃 𐌵𐌰𐌸 𐌳𐌿 𐍀𐌰𐌹𐍄𐍂𐌰𐌿: 𐍃𐌴𐌹𐌼𐍉𐌽, 𐍃𐌺𐌰𐌻 𐌸𐌿𐍃 𐍈𐌰 𐌵𐌹𐌸𐌰𐌽. 𐌹𐌸 𐌹𐍃 𐌵𐌰𐌸: 𐌻𐌰𐌹𐍃𐌰𐍂𐌹, 𐌵𐌹𐌸!
